"Project Name","Sprint/Phase","Task/Item","Status","Owner","Timeline","Financial Metric","SLA Metric","Risk Title","Risk Description","Risk Category","Tech Stack","Risk Subtype","Severity","Likelihood","Impact"
"HIE Interoperability","Sprint 1-8","QA Testing","Completed with defects","Nisha, Divya","2026-03-02 to 2026-04-26","₹3,25,000 (Over Budget by ₹25,000)","Multiple defect reopen cycles detected","QA Budget Overrun with High Defect Leakage","QA budget exceeded planned allocation by ₹25,000 (8.3% overrun) due to increased retesting cycles. Multiple defects required 2-3 retest cycles with reopen counts reaching 2 per defect, indicating incomplete fixes and quality issues. This pattern suggests inadequate initial testing coverage and potential technical debt accumulation.","Financial","QA Testing","Overrun","High","High","Budget overrun impacts project profitability and indicates quality control gaps requiring immediate attention. Continued defect leakage may delay delivery and increase technical debt."
"HIE Interoperability","Sprint 1-8","Production Support","In Progress with delays","Keerthi L, Bala","2026-03-02 to 2026-04-26","₹2,20,000 (Over Budget by ₹20,000)","Environment access delays","DevOps Budget Overrun Due to Production Monitoring","DevOps budget exceeded planned allocation by ₹20,000 (10% overrun) due to increased production monitoring requirements and environment dependency issues. Access permission delays for UAT/prod environments caused bottlenecks in integration validation and log analysis activities.","Financial","DevOps","Overrun","High","High","Budget overrun indicates underestimated infrastructure complexity. Environment access delays create cascading impacts on delivery timelines and increase operational costs."
"HIE Interoperability","Sprint 1-8","Bug Fixes and PR Approvals","Blocked/In Progress","Ramesh K","2026-03-02 to 2026-04-26","Development budget ₹11,60,000","PR approval delays causing cycle time increase","PR Approval Bottleneck Causing Delivery Delays","PR approval delays consistently impacted bug fix closure timelines across all 8 sprints. Multiple tasks remained in 'Blocked' or 'In Progress' status waiting for architecture reviewer approvals, causing cycle time increases and preventing QA from completing retesting cycles. This created a cascading delay effect throughout the delivery pipeline.","Operational","Development","Delay","High","High","PR approval delays create bottlenecks in delivery pipeline, extend defect resolution time, and increase overall project cycle time. This impacts team velocity and stakeholder confidence."
"HIE Interoperability","Sprint 1-8","Dependency Tracking","Blocked","Priya M","2026-03-02 to 2026-04-26","N/A","Access permission delays","Environment Access and Dependency Bottleneck","Recurring environment access permission delays blocked multiple tasks across all sprints. UAT/prod-like environment access requests faced approval delays, impacting integration validation, data flow checks, and production monitoring activities. Dependency tracking tasks frequently remained in 'Blocked' status due to external approval requirements.","Operational","Infrastructure","Dependency","High","High","Environment access delays create critical path bottlenecks, prevent timely testing and validation, and increase project risk. This impacts delivery predictability and team productivity."
"HIE Interoperability","Sprint 1-8","Resource Allocation","Over-utilized","Development Team","2026-03-02 to 2026-04-26","Resource cost variance","Developers 82% vs planned 70%, QA 24% vs planned 20%","Resource Over-Utilization Risk","Actual resource utilization significantly exceeded planned capacity: Developers at 82% (vs planned 70%), QA at 24% (vs planned 20%), and DevOps at 14% (vs planned 10%). Higher workload due to defect fixes, increased retesting cycles, and production dependency management indicates resource planning gaps and potential team burnout risk.","Resource","Resource Management","Over-Utilization","High","High","Resource over-utilization increases burnout risk, reduces team morale, and may lead to quality degradation. Sustained high utilization levels are unsustainable and may cause attrition."
"HIE Interoperability","Sprint 6-8","Overall Project Health","Degraded from Green to Amber","Project Team","2026-04-06 to 2026-04-26","Total budget variance 5%","Project health: Amber","Project Health Degradation","Project health status degraded from Green (Sprints 1-5) to Amber (Sprints 6-8) as documented in WSR reports. This degradation coincided with increased PR approval delays, access dependency issues, and production validation challenges. The cumulative effect of unresolved blockers and increasing defect counts triggered the status change.","Operational","Project Management","Health Degradation","Medium","High","Project health degradation signals accumulating issues requiring management intervention. Continued amber status may escalate to red, impacting delivery commitments and stakeholder confidence."
"HIE Interoperability","Sprint 1-8","Defect Management","Multiple reopens detected","QA Team","2026-03-02 to 2026-04-26","QA cost ₹3,25,000","Reopen count up to 2 per defect","High Defect Reopen Rate Indicating Quality Issues","Defect reopen counts reached up to 2 per defect across multiple sprints, indicating incomplete fixes and inadequate root cause analysis. Pattern analysis shows defects logged in Jira required 2-3 retesting cycles, with some defects reopened due to incomplete developer fixes. This suggests quality control gaps in the development and testing process.","Technical","QA Testing","Defect","High","High","High defect reopen rates indicate systemic quality issues, increase rework costs, extend delivery timelines, and erode customer confidence. Root cause analysis and process improvements are urgently needed."
"HIE Interoperability","Sprint 1-8","Integration Validation","Resolved with delays","Keerthi L","2026-03-02 to 2026-04-26","DevOps cost ₹2,20,000","Integration delays due to access","Integration Validation Delays Due to Environment Dependencies","Integration validation tasks faced recurring delays due to environment access dependencies and infrastructure issues. Data flow checks, log analysis, and production monitoring activities were consistently impacted by access permission delays and environment readiness issues, causing tasks to remain in 'Blocked' or 'Resolved with delays' status.","Technical","Integration","Delay","Medium","High","Integration validation delays create risks in production deployment readiness, increase technical debt, and may cause data inconsistency issues. Timely resolution is critical for go-live success."
"HIE Interoperability","Sprint 4-8","Production Monitoring","In Progress with blockers","Bala","2026-03-23 to 2026-04-26","Production support cost included in DevOps","Certificate renewal and log access delays","Production Support Bottleneck","Production monitoring and support activities faced recurring blockers including certificate renewal delays and production log access restrictions. Tasks remained in 'Blocked' or 'In Progress' status due to infrastructure dependencies. Bala's handover during Sprint 8 added transition risk during critical hypercare phase.","Operational","Production Support","Dependency","Medium","High","Production support bottlenecks create operational risks, delay incident resolution, and may impact system availability. Handover during hypercare increases knowledge transfer risk."
"HIE Interoperability","Sprint 1-8","Budget Management","Minor variance detected","Finance Team","2026-03-02 to 2026-04-26","Total variance: 5% (₹45,000 over in QA+DevOps)","Budget variance: 5%","Budget Variance Concentration in QA and DevOps","While overall budget variance remained at 5% (within acceptable limits), the concentration of overruns in QA (₹25,000) and DevOps (₹20,000) indicates specific areas of underestimation. Development stayed within budget (₹40,000 under), but QA and DevOps exceeded planned costs due to increased retesting cycles and production monitoring requirements.","Financial","Budget Management","Variance","Medium","Medium","Concentrated budget overruns in specific areas indicate planning gaps and may signal ongoing cost escalation risk. Requires budget reforecasting and cost control measures."
"HIE Interoperability","Sprint 8","Hypercare and Handover","In Progress with leave","Bala","2026-04-20 to 2026-04-26","Support cost allocation","Handover during hypercare phase","Knowledge Transfer Risk During Hypercare","Bala's planned leave and handover to Arun K during Sprint 8 hypercare phase creates knowledge transfer risk. Production monitoring and support responsibilities transitioned during critical stabilization period when system expertise is most needed. Backup coverage documented but handover timing increases operational risk.","Resource","Knowledge Transfer","Transition Risk","Medium","Medium","Knowledge transfer during hypercare increases risk of incomplete handover, potential production issues, and reduced support quality. May impact incident resolution time and system stability."
"HIE Interoperability","Sprint 1-8","Compliance and Access Management","Recurring delays","Priya M","2026-03-02 to 2026-04-26","N/A","Access approval delays","Access Management Process Inefficiency","Recurring access permission delays for UAT/prod environments indicate inefficient access management processes. Multiple tasks across all sprints faced blockers due to approval delays, impacting testing, validation, and production support activities. This suggests gaps in access governance and approval workflows.","Compliance","Access Management","Process Gap","Medium","High","Access management inefficiencies create compliance risks, delay project activities, and increase operational friction. Process improvements needed to streamline access provisioning and approvals."
"HIE Interoperability","Sprint 6-8","Cutover and Go-Live","Blocked by approvals","Project Team","2026-04-06 to 2026-04-26","N/A","Cutover checklist approval delays","Go-Live Readiness Risk","Cutover rehearsal and go-live preparation activities faced blockers due to cutover checklist approval delays and interface freeze confirmation delays. Tasks remained blocked during critical Sprints 6-8 when go-live preparation should have been finalized. This creates risk of delayed production deployment.","Operational","Deployment","Delay","High","High","Go-live readiness delays create deployment risk, may cause production cutover issues, and impact business continuity. Requires immediate management escalation and fast-track approval process."
